X,Y,OGF_ID,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-76.7797619,44.5590335,186716939,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3121
-77.1778097,43.957883,186716938,Within 10 metres,2022/08/18 15:08:50+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3137
-77.3127702,44.1481833,186716952,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3153
-77.125404,44.0051367,186716951,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3169
-76.6066356,44.2201557,186525185,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,3185
-77.3147525,44.3862242,186716950,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3201
-76.6095404,44.232258,186525184,Within 10 metres,2022/08/18 13:35:42+00,2022/08/18 13:20:42+00,2022/08/18 22:24:25+00,3217
-77.3146495,44.3919255,186716949,Within 10 metres,2022/08/18 15:08:50+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3233
-77.1175466,44.5605572,186716948,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3249
-77.1167183,44.5592061,186716947,Within 10 metres,2022/08/18 15:08:50+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3265
-77.4299787,44.1388206,186716946,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3281
-77.4290406,44.1375231,186716945,Within 10 metres,2022/08/18 15:08:49+00,2022/08/18 15:03:55+00,2022/08/18 22:24:25+00,3297
-76.272705,44.726837,319510577,Within 10 metres,2023/11/21 15:39:13+00,2023/11/21 10:50:11+00,2023/11/21 22:35:20+00,3521
-84.6994879,47.3701645,319510606,Within 10 metres,2023/11/21 15:39:14+00,2023/11/21 10:51:17+00,2023/11/21 22:35:20+00,3537
-76.8133148,45.0375378,319510686,Within 10 metres,2023/11/21 15:39:15+00,2023/11/21 10:50:21+00,2023/11/21 22:35:20+00,3553
-81.6516158,43.5111768,319510545,Within 10 metres,2023/11/21 15:39:14+00,2023/11/21 10:50:08+00,2023/11/21 22:35:20+00,3569
